Blueberries,Fruits,Berries,354,168.42,19.92,19.4,12,28.98,1.48,2,1.14,0.114,0.56,12,24,154,0.32,0.66,0.056,4.8
Grapes,Fruits,Berries,69,80.54,15.48,3.2,10,18.1,0.72,2,0.19,0.127,0.36,7,20,191,0.07,0.16,0.054,0.9
Blackberries,Fruits,Berries,267,176.3,9.76,42,58,19.22,2.78,2,2.34,0.33,1.24,40,44,324,1.06,0.98,0.028,10.6
Strawberry,Fruits,Berries,32,90.95,4.89,58.8,16,7.68,0.67,1,0.29,0.048,0.41,13,24,153,0.14,0.3,0.015,2
Boysenberries,Fruits,Berries,43,88.15,4.88,21,29,9.61,1.39,1,1.17,0.165,0.62,20,22,162,0.53,0.49,0.014,5.3
Pineapple,Fruits,Berries,50,86,9.85,47.8,13,13.12,0.54,1,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009,1.4
Peppersweetred,Vegetables,Chili pepper,26,92.21,4.2,127.7,7,6.03,0.99,4,1.58,0.017,0.43,12,26,211,0.25,0.3,0.059,2.1
Pepper_Serrano,Vegetables,Chili pepper,32,90.25,3.83,44.9,11,6.7,1.74,10,0.69,0.129,0.86,22,40,305,0.26,0.44,0.059,3.7
Pepperpoblano,Vegetables,Chili pepper,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.058,1.7
Peppersweetgreen,Vegetables,Chili pepper,20,93.89,2.4,80.4,10,4.64,0.86,3,0.37,0.066,0.34,10,20,175,0.13,0.17,0.058,1.7
Pepperbanana,Vegetables,Chili pepper,27,91.81,1.95,82.7,14,5.35,1.66,13,0.69,0.094,0.46,17,32,256,0.25,0.45,0.048,3.4
Calamondin,Fruits,Citrus Fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Clementine,Fruits,Citrus fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Tangerine,Fruits,Citrus fruits,53,85.17,10.58,26.7,37,13.34,0.81,2,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Kumquat,Fruits,Citrus fruits,71,80.85,9.36,43.9,62,15.9,1.88,10,0.15,0.095,0.86,20,19,186,0.17,0.86,0.103,6.5
Orange,Fruits,Citrus fruits,47,86.75,9.35,53.2,40,11.75,0.94,0,0.18,0.045,0.1,10,14,181,0.07,0.12,0.015,2.4
Clementines,Fruits,Citrus Fruits,245,86.58,9.18,48.8,30,12.02,0.85,1,0.2,0.043,0.14,10,21,177,0.06,0.15,0,1.7
Grapefruit,Fruits,Citrus fruits,42,88.06,6.89,31.2,22,10.66,0.77,0,0.13,0.032,0.08,9,18,135,0.07,0.14,0.021,1.6
Lemon,Fruits,Citrus fruits,29,88.98,2.5,53,26,9.32,1.1,2,0.15,0.037,0.6,8,16,138,0.06,0.3,0.039,2.8
Lime,Fruits,Citrus fruits,30,88.26,1.69,29.1,33,10.54,0.7,2,0.22,0.065,0.6,6,18,102,0.11,0.2,0.022,2.8
Persimmon_dried,Fruits,Dried fruits,366,0.86,80.06,4,22,96.07,1.54,3,1.94,0.303,0.42,24,45,429,0.3,0.66,0.053,9.6
Pineapple_dried,Fruits,Dried fruits,313,15.95,72.94,25.4,35,81.54,1.43,3,0.05,0.295,0.79,32,21,290,0.32,0.47,0.024,3.7
Cranberries_dried,Fruits,Dried fruits,308,15.79,72.56,0.2,9,82.8,0.17,5,2.1,0.063,0.39,4,8,49,0.1,1.09,0.088,5.3
Papaya_dried,Fruits,Dried fruits,295,21.42,67.55,32.4,54,75.43,1.25,22,0.8,0.123,0.69,56,27,484,0.22,0.84,0.215,4.5
Blueberries_dried,Fruits,Dried fruits,317,14.8,67.5,23.8,19,80,2.5,3,2.35,0.16,0.9,18,36,214,0.49,2.5,0.2,7.5
Cherries_dried,Fruits,Dried fruits,333,16.6,67.15,19.3,38,80.45,1.25,13,0.17,0.229,0.68,22,36,376,0.25,0.73,0.146,2.5
Mango_dried,Fruits,Dried fruits,319,16.6,66.27,42.3,0,78.58,2.45,162,4.02,0.3,0.23,20,50,279,0.3,1.18,0.287,2.4
Raisins,Fruits,Dried fruits,299,15.46,65.18,2.3,62,79.32,3.3,26,0.12,0.272,1.79,36,98,744,0.36,0.25,0.094,4.5
Date,Fruits,Dried fruits,282,20.53,63.35,0.4,39,75.03,2.45,2,0.05,0.206,1.02,43,62,656,0.29,0.39,0.032,8
Currants_dried,Fruits,Dried fruits,290,17.6,62.28,4.7,88,76.98,3.43,43,0.11,0.298,1.88,36,99,777,0.37,0.22,0.085,4.4
Pear_dried,Fruits,Dried fruits,262,26.69,62.2,7,34,69.7,1.87,6,0.06,0.371,2.1,33,59,533,0.39,0.63,0.035,7.5
Apple_dried,Fruits,Dried fruits,243,31.76,57.19,3.9,14,65.89,0.93,87,0.53,0.191,1.4,16,38,450,0.2,0.32,0.052,8.7
Apricot_dried,Fruits,Dried fruits,241,30.89,53.44,1,55,62.64,3.39,10,4.33,0.343,2.66,32,71,1162,0.39,0.51,0.017,7.3
Fig_dried,Fruits,Dried fruits,249,30,47.9,1.2,162,63.9,3.3,10,0.36,0.287,2.03,68,67,680,0.66,0.92,0.144,9.8
Tamarind_dried,Fruits,Dried fruits,254,28.26,44.9,0.6,67,66.21,2.52,25,0.09,0.078,2.52,83,102,565,0.09,0.57,0.245,4.6
Peach_dried,Fruits,Dried fruits,239,31.8,41.74,4.8,28,61.33,3.61,7,0.19,0.364,4.06,42,119,996,0.57,0.76,0.082,8.2
Prune_dried,Fruits,Dried fruits,240,30.92,38.13,0.6,43,63.88,2.18,2,0.43,0.281,0.93,41,69,732,0.44,0.38,0.088,7.1
Fig,Fruits,Flowers,74,79.11,16.26,2,35,19.18,0.75,1,0.11,0.07,0.37,17,14,232,0.15,0.3,0.06,2.9
Broccoli,Vegetables,Flowers,372,268.6,3.4,269.7,140,19.55,8.21,102,1.71,0.157,2.15,63,199,935,1.24,1.08,0.192,7.6
Broccoflower,Vegetables,Flowers,31,89.79,3.03,88.1,33,6.09,2.95,23,0.04,0.041,0.73,20,62,300,0.64,0.3,0.047,3.2
Cherimoya,Fruits,Fruits,388,79.39,12.87,12.6,10,17.71,1.57,7,0.27,0.069,0.27,17,26,287,0.16,0.68,0.233,3
banana,Fruits,Fruits,89,74.91,12.23,8.7,5,22.84,1.09,1,0.1,0.078,0.26,27,22,358,0.15,0.33,0.112,2.6
Breadfruit,Fruits,Fruits,534,70.65,11,29,17,27.12,1.07,2,0.1,0.084,0.54,25,30,490,0.12,0.23,0.048,4.9
Apple,Fruits,Fruits,52,85.56,10.39,4.6,6,13.81,0.26,1,0.18,0.027,0.12,5,11,107,0.04,0.17,0.028,2.4
Apricot,Fruits,Fruits,48,86.35,9.24,10,13,11.12,1.4,1,0.89,0.078,0.39,10,23,259,0.2,0.39,0.027,2
Avocado,Fruits,Fruits,160,73.23,0.66,10,12,8.53,2,7,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
Corn,Fruits,Fruits/Grain,86,76.05,6.26,6.8,2,18.7,3.27,15,0.07,0.054,0.52,37,89,270,0.46,1.35,0.325,2
Abiyuch,Vegetables,Herbs,359,79.9,8.55,54.1,8,17.6,1.5,20,0,0.057,1.61,24,47,304,0.31,0.1,0.014,5.3
Chives,Vegetables,Herbs,186,181.3,3.7,116.2,184,8.7,6.54,6,0.42,0.314,3.2,84,116,592,1.12,1.46,0.292,5
Cilantro,Vegetables,Herbs,23,92.21,0.87,27,67,3.67,2.13,46,2.5,0.225,1.77,26,48,521,0.5,0.52,0.014,2.8
Basil,Vegetables,Herbs,23,92.06,0.3,18,177,2.65,3.15,4,0.8,0.385,3.17,64,56,295,0.81,0.64,0.041,1.6
Borage,Vegetables,Herbs,109,93,0,35,93,3.06,1.8,80,0,0.13,3.3,52,53,470,0.2,0.7,0.17,0
Honeydewmelon,Fruits,Melons,36,89.82,8.12,18,6,9.09,0.54,18,0.02,0.024,0.17,10,11,228,0.09,0.14,0.038,0.8
Cantaloupe,Fruits,Melons,34,90.2,7.88,10.9,9,8.16,0.82,30,0.05,0.085,0.38,13,17,157,0.44,0.18,0.051,0.8
Watermelon,Fruits,Melons,30,91.45,6.2,8.1,7,7.55,0.61,1,0.05,0.042,0.24,10,11,112,0.1,0.15,0.016,0.4
Cassabamelon,Fruits,Melons,28,91.85,5.69,21.8,11,6.58,1.11,9,0.05,0.06,0.34,11,5,182,0.07,0.1,0.025,0.9
Chestnuts,Vegetables,Nuts and seeds,245,40.48,10.6,26,29,52.96,3.17,2,0.5,0.507,0.91,33,107,592,0.57,2.2,0.414,5.1
Pistachio_nuts_unsalted,Vegetables,Nuts and seeds,581,1.79,7.51,2.9,104,27.43,20.42,6,2.46,1.254,3.91,106,455,977,2.27,47.44,5.886,10
Cashews_unroasted,Vegetables,Nuts and seeds,574,1.7,5.01,0,45,32.69,15.31,16,0.92,2.22,6,260,490,565,5.6,46.35,9.157,3
Cashews_unsalted,Vegetables,Nuts and seeds,583,1.65,4.86,0,44,31.71,14.85,16,1.24,2.153,5.82,252,475,548,5.43,47.96,9.293,2.9
Peanuts_unroasted,Vegetables,Nuts and seeds,567,6.5,4.72,0,92,16.13,25.8,18,8.33,1.144,4.58,168,376,705,3.27,49.24,6.279,8.5
Almonds_unsalted,Vegetables,Nuts and seeds,607,2.34,4.71,0,260,20.38,20.33,3,23.54,1.066,3.62,271,457,692,3.21,53.96,4.38,10.6
Almonds_unroasted,Vegetables,Nuts and seeds,579,4.41,4.35,0,269,21.55,21.15,1,25.63,1.031,3.71,270,481,733,3.12,49.93,3.802,12.5
Hazelnuts,Vegetables,Nuts and seeds,628,5.31,4.34,6.3,114,16.7,14.95,0,15.03,1.725,4.7,163,290,680,2.45,60.75,4.464,9.7
Peanuts_roasted_unsalted,Vegetables,Nuts and seeds,599,1.45,4.18,0.8,61,15.26,28.03,6,6.91,0.533,1.52,176,397,726,3.28,52.5,8.686,9.4
